service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Weekday-5,1,1,1,1,1,0,0,20260506,20260831
Weekday-6,1,1,1,1,1,0,0,20260506,20260831
Weekday-7,1,1,1,1,1,0,0,20260506,20260831
Weekday-8,1,1,1,1,1,0,0,20260506,20260831
Weekday-9,1,1,1,1,1,0,0,20260506,20260831
Weekend-1,0,0,0,0,0,1,1,20260506,20260831
Weekend-10,0,0,0,0,0,1,1,20260517,20260831
Weekend-11,0,0,0,0,0,1,1,20260517,20260831
Weekend-2,0,0,0,0,0,1,1,20260506,20260831
Weekend-3,0,0,0,0,0,1,1,20260506,20260516
Weekend-4,0,0,0,0,0,1,1,20260506,20260831
Weekend-5,0,0,0,0,0,1,1,20260506,20260831
Weekend-6,0,0,0,0,0,1,1,20260506,20260831
Weekend-7,0,0,0,0,0,1,1,20260506,20260831
Weekend-8,0,0,0,0,0,1,1,20260506,20260516
Weekend-9,0,0,0,0,0,1,1,20260517,20260831
WkExFri-1,1,1,1,1,0,0,0,20260506,20260831
WkExFri-2,1,1,1,1,0,0,0,20260506,20260831
WkExFri-3,1,1,1,1,0,0,0,20260506,20260831
WkExMon-1,0,1,1,1,1,0,0,20260506,20260831
WkExWed-1,1,1,0,1,1,0,0,20260506,20260831
